doc_id,title,year,doc_type,num_pages,num_chunks
2606.10380,Expert-Level Crisis Detection in Mental Health Conversations,2026,cs.CL,25,62
2606.10381,Agentic Hybrid RAG for Evidence-Grounded Muon Collider Analysis,2026,hep-ex,22,35
2606.10398,"Selection, Not Salience: The Shape and Limits of Personalization in Social Highlighting",2026,cs.IR,9,17
2606.10400,Do Vision-Language Models See or Guess? Measuring and Reducing Textual-Prior Reliance with a Phrasin,2026,cs.CL,17,53
2606.10402,Harnessing the Collective Intelligence of AI Agents in the Wild for New Discoveries,2026,cs.CL,26,48
2606.10403,KCSAT-ML: Probing Reasoning Models with Nationwide-Cohort Human Difficulty,2026,cs.CL,18,51
2606.10423,WebChallenger: A Reliable and Efficient Generalist Web Agent,2026,cs.CL,38,81
2606.10428,Which LoRA? An Empirical Study on the Effectiveness of LoRA Techniques During Multilingual Instructi,2026,cs.CL,10,29
2606.10435,Parallel Causal Associative Fields: Gated Sparse Memory for Long-Context Language Modeling,2026,cs.LG,17,33
2606.10439,Enhancing Multilingual LLM-based ASR with Mixture of Experts and Dynamic Downsampling,2026,cs.SD,5,15
2606.10445,SpenseGPT: Practical One-shot Pruning Enabling Sparse and Dense GEMMs for LLM Inference,2026,cs.LG,10,26
2606.10459,Leveraging Social Media Data for COVID-19 Studies,2026,cs.SI,8,16
2606.10460,LakeQA: An Exploratory QA Benchmark over a Million-Scale Data Lake,2026,cs.CL,28,67
2606.10461,ERAlign: Energy-based Representation Alignment of GNNs and LLMs on Text-attributed Graphs,2026,cs.LG,22,66
2606.10467,Large Language Models as Modal Models in Linguistics,2026,cs.CL,24,42
2606.10471,Detecting Speculative Language in Biomedical Texts using Recurrent Neural Tensor Networks,2026,cs.CL,12,17
2606.10475,Decoupling Thought from Speech: Knowledge-Grounded Counterfactual Reasoning for Resilient Multi-Agen,2026,cs.MA,11,24
2606.10481,Advancing the State-of-the-Art in Empirical Privacy Auditing,2026,cs.LG,23,53
2606.10520,UniSVQ: 2-bit Unified Scalar-Vector Quantization,2026,cs.CL,13,43
2606.10528,Representation-Aware Advantage Estimation: Your Reward Model Provides More Than A Scalar Output,2026,cs.LG,13,39
2606.10531,LC-QAT: Data-Efficient 2-Bit QAT for LLMs via Linear-Constrained Vector Quantization,2026,cs.CL,14,45
2606.10537,Prefilling-dLLM: Predictive Prefilling for Long-Context Inference in Diffusion Language Models,2026,cs.CL,16,47
2606.10554,Benchmarking Knowledge Editing using Logical Rules,2026,cs.CL,17,29
2606.10569,Hidden Consensus:Preference-Validity Compression in Human Feedback,2026,cs.CL,28,49
2606.10581,ParaBridge: Bridging Paralinguistic Perception and Dialogue Behavior in Speech Language Models,2026,cs.CL,23,70
2606.10587,Towards Diverse Scientific Hypothesis Search with Large Language Models,2026,cs.LG,41,102
2606.10592,Dirichlet-Guided Group Forecasting for Alleviating Over-smoothing in Time Series Forecasting,2026,cs.LG,21,69
2606.10595,From Data Heterogeneity to Convergence: A Data-Centric Review of Federated Learning,2026,cs.CR,64,130
2606.10596,Embedding Hybrid Systems into Continuous Latent Vector Fields,2026,cs.LG,32,74
2606.10600,Toward Proactive RF Charging Scheduling: Generative AI for Decision Support,2026,eess.SY,8,20
2606.10601,Dmsh: A Multi-Agent Reinforcement Learning Framework for All-Quad Mesh Generation,2026,math.NA,33,54
2606.10607,Causal Ensemble Agent: Hierarchical Causal Discovery with LLM-guided Expert Reweighting,2026,cs.LG,29,70
2606.10610,"Small Data, Big Noise: Adversarial Training for Robust Parameter-Efficient Fine-Tuning",2026,cs.CL,24,56
2606.10611,Geometry-Aware Reinforcement Learning for 2D Irregular Nesting,2026,cs.LG,15,32
2606.10613,Fast and Highly Expressive Policy Learning for Offline Reinforcement Learning via Bootstrapped Flow ,2026,cs.LG,19,57
2606.10614,Dexterous Point Policy: Learning Point-based Dexterous Hand Policies from Human Demonstrations,2026,cs.RO,23,44
2606.10616,Learning What to Remember: Observability-Safe Memory Retention via Constrained Optimization for Long,2026,cs.AI,17,34
2606.10620,Can Image Models Imagine Time? ImageTime: A Novel Benchmark for Probing Visual World Modeling Throug,2026,cs.CV,63,101
2606.10621,STORM: Stepwise Token Optimization with Reward-Guided Beam Search,2026,cs.IR,16,55
2606.10627,Profy: Interpretable Visualization of Expertise-Dependent Motor Skills Toward Supporting Piano Pract,2026,cs.HC,18,60
2606.10632,Is Fairness Truly Fair? Towards Reliable Lipschitz Fairness in Multi-Task Learning via Fixed-\texorp,2026,cs.LG,12,46
2606.10642,PhysMetrics.Weather: An Evaluation Framework for Physical Consistency in ML Weather Models,2026,cs.LG,25,54
2606.10646,How Does Reasoning Flow? Tracing Attention-Induced Information Flow for Targeted RL in LLMs,2026,cs.LG,25,64
2606.10650,Dynamic Linear Attention,2026,cs.CL,12,30
2606.10654,Speaker Group Encoding in Self-supervised Speech Recognition Models,2026,cs.CL,10,23
2606.10657,Are We Evaluating Knowledge or Phrasing? Mitigating MCQA Sensitivity with ParaEval,2026,cs.CL,30,68
2606.10658,Post-Quantum Secure Federated DeFi for Inclusive Banking,2026,cs.CR,8,24
2606.10660,Accounting for AI Inference in Corporate GHG Inventories: A Four-Tier Methodology for Scope 3 Catego,2026,cs.CY,17,30
2606.10662,Decentralized Multi-Agent Systems with Shared Context,2026,cs.MA,23,45
2606.10669,In Defense of Information Leakage in Concept-based Models,2026,cs.LG,19,59
2606.10673,ClusBench: The Clustering Benchmark Data Resource You've All Been Waiting For (?),2026,stat.OT,25,27
2606.10675,Multilingual Word-Level Forced Alignment with Self-Supervised Representations and Learned Dynamic Pr,2026,cs.CL,5,17
2606.10677,Infini Memory: Maintainable Topic Documents for Long-Term LLM Agent Memory,2026,cs.AI,14,32
2606.10678,One Step Closer to Ground Truth: A Multi-Scale Residual-Aware Representation Learning Pipeline for P,2026,cs.LG,20,87
2606.10682,PL-KKT-hPINN: Enforcing Nonlinear Equality Constraints on Neural Networks via Piecewise-Linear Proje,2026,cs.LG,18,34
2606.10683,UniDexTok: A Unified Dexterous Hand Tokenizer from Real Data,2026,cs.RO,11,23
