input_id,model,latency_ms,input_tokens,output_tokens,cost_usd,quality_score_1to5,notes
doc_01,llama-3.3-70b (Pro),654.1,311,103,0.00026486,5,"The summary accurately captures the most important points about the Amazon rainforest, including its size, ecological importance, and deforestation risks, in three distinct and concise bullets."
doc_02,llama-3.3-70b (Pro),480.8,267,115,0.00024838,5,The summary accurately captures the most important points of the original document in three distinct and informative bullets.
doc_03,llama-3.3-70b (Pro),496.6,257,95,0.00022668,5,The summary accurately captures the most important points of the original document in three distinct and well-worded bullets.
doc_04,llama-3.3-70b (Pro),708.4,248,128,0.00024744,5,The summary accurately captures the main points of the original document in three distinct and informative bullets.
doc_05,llama-3.3-70b (Pro),441.9,282,101,0.00024617,5,The summary accurately captures the most important points of the original document in three distinct and informative bullets.
doc_06,llama-3.3-70b (Pro),520.2,268,106,0.00024186,5,"The summary accurately captures the most important points of the GDPR, including citizen rights, company obligations, and penalties for non-compliance, in three distinct and concise bullets."
doc_07,llama-3.3-70b (Pro),636.7,262,105,0.00023753,5,The summary accurately captures the most important points from the original document in three distinct and well-worded bullets.
doc_08,llama-3.3-70b (Pro),536.8,254,105,0.00023281,5,The summary accurately captures the most important points of the original document in three distinct bullets.
doc_09,llama-3.3-70b (Pro),527.5,243,102,0.00022395,5,The summary accurately captures the most important points from the original document in three distinct and informative bullets.
doc_10,llama-3.3-70b (Pro),633.9,274,104,0.00024382,5,"The summary accurately captures the most important points about the history of the internet, including its origins, key inventions, and current state, in three distinct and informative bullets."
doc_11,llama-3.3-70b (Pro),521.4,258,95,0.00022727,5,The summary accurately captures the most important points from the original document in three distinct and informative bullets.
doc_12,llama-3.3-70b (Pro),702.0,256,110,0.00023794,5,The summary accurately captures the most important points from the original document in three distinct and informative bullets.
doc_13,llama-3.3-70b (Pro),950.4,275,136,0.00026969,5,"The summary accurately captures the most important points about the James Webb Space Telescope, including its launch, capabilities, and mission, in three distinct and informative bullets."
doc_14,llama-3.3-70b (Pro),530.6,240,99,0.00021981,5,The summary accurately captures the most important points from the original document in three distinct and well-worded bullets.
doc_15,llama-3.3-70b (Pro),754.9,258,119,0.00024623,5,The summary accurately captures the most important points from the original document in three distinct and informative bullets.
doc_16,llama-3.3-70b (Pro),2693.4,251,102,0.00022867,5,The summary accurately captures the most important points from the original document in three distinct and informative bullets.
doc_17,llama-3.3-70b (Pro),2474.1,255,111,0.00023814,5,The summary accurately captures the most important points of the original document in three distinct and informative bullets.
doc_18,llama-3.3-70b (Pro),2783.8,263,121,0.00025076,5,"The summary accurately captures the most important points about CRISPR-Cas9 technology, including its medical applications, ongoing clinical trials, and ethical concerns, in three distinct and well-worded bullets."
doc_19,llama-3.3-70b (Pro),2532.2,242,103,0.00022415,5,The summary accurately captures the most important points from the original document in three distinct and well-worded bullets.
doc_20,llama-3.3-70b (Pro),2786.1,266,101,0.00023673,5,"The summary accurately captures the most important points about the ISS, including its complexity, purpose, and future plans, in three distinct and informative bullets."
doc_01,llama-4-scout (Flash),648.8,289,154,8.415e-05,5,"The summary accurately captures the most important points about the Amazon rainforest, including its size and role in the climate, its biodiversity, and the threats it faces from deforestation."
doc_02,llama-4-scout (Flash),793.1,245,100,6.095e-05,5,The summary accurately captures the most important points of the original document in three distinct and concise bullets.
doc_03,llama-4-scout (Flash),436.8,235,74,5.101e-05,5,The summary accurately captures the most important points from the original document in three distinct and relevant bullets.
doc_04,llama-4-scout (Flash),617.9,226,88,5.478e-05,5,The summary accurately captures the main points of the original document in three distinct and informative bullets.
doc_05,llama-4-scout (Flash),325.6,260,74,5.376e-05,5,The summary accurately captures the most important points from the original document in three distinct and concise bullets.
doc_06,llama-4-scout (Flash),909.9,247,107,6.355e-05,5,"The summary accurately captures the most important points of the GDPR, including citizen rights, company obligations, and penalties for non-compliance, in three distinct and concise bullets."
doc_07,llama-4-scout (Flash),625.9,234,97,5.872e-05,5,The summary accurately captures the most important points of the original document in three distinct and concise bullets.
doc_08,llama-4-scout (Flash),2169.7,233,96,5.827e-05,5,The summary accurately captures the most important points of the original document in three distinct and informative bullets.
doc_09,llama-4-scout (Flash),632.9,222,92,5.57e-05,5,The summary accurately captures the most important points from the original document in three distinct and concise bullets.
doc_10,llama-4-scout (Flash),428.7,251,95,5.991e-05,5,"The summary accurately captures the most important points about the history of the internet, including its origins, key inventions, and significant developments over the years."
doc_11,llama-4-scout (Flash),459.0,238,100,6.018e-05,5,The summary accurately captures the most important points from the original document in three distinct and well-worded bullets.
doc_12,llama-4-scout (Flash),399.7,232,104,6.088e-05,5,The summary accurately captures the most important points from the original document in three distinct and informative bullets.
doc_13,llama-4-scout (Flash),1276.5,250,134,7.306e-05,5,"The summary accurately captures the most important points about the James Webb Space Telescope, including its launch, capabilities, and mission, in three distinct and informative bullets."
doc_14,llama-4-scout (Flash),329.6,221,94,5.627e-05,5,The summary accurately captures the most important points from the original document in three distinct and well-worded bullets.
doc_15,llama-4-scout (Flash),427.8,236,114,6.472e-05,5,The summary accurately captures the most important points from the original document in three distinct and informative bullets.
doc_16,llama-4-scout (Flash),540.3,227,106,6.101e-05,5,The summary accurately captures the most important points from the original document in three distinct and informative bullets.
doc_17,llama-4-scout (Flash),429.3,233,124,6.779e-05,5,The summary accurately captures the most important points from the original document in three distinct and informative bullets.
doc_18,llama-4-scout (Flash),524.4,234,124,6.79e-05,5,"The summary accurately captures the most important points about CRISPR-Cas9 technology, its medical and agricultural applications, and the associated ethical concerns in three distinct and well-worded bullets."
doc_19,llama-4-scout (Flash),327.6,221,87,5.389e-05,5,The summary accurately captures the most important points from the original document in three distinct and concise bullets.
doc_20,llama-4-scout (Flash),532.1,247,126,7.001e-05,5,"The summary accurately captures the most important points about the ISS, its history, and its future, with three distinct and informative bullets."
doc_01,llama-3.1-8b (Flash-Lite),1251.1,311,106,2.403e-05,5,"The summary accurately captures three distinct and important points about the Amazon rainforest, including its size and oxygen production, biodiversity, and deforestation statistics."
doc_02,llama-3.1-8b (Flash-Lite),317.1,267,110,2.215e-05,5,The summary accurately captures the most important points of the original document in three distinct and informative bullets.
doc_03,llama-3.1-8b (Flash-Lite),431.0,257,73,1.869e-05,5,"The summary accurately captures the main points of the original document, including AI's transformation of healthcare, its applications, and the concerns surrounding its adoption."
doc_04,llama-3.1-8b (Flash-Lite),428.6,248,99,2.032e-05,5,The summary accurately captures the most important points of the original document in three distinct and informative bullets.
doc_05,llama-3.1-8b (Flash-Lite),269.0,282,89,2.122e-05,5,The summary accurately captures the most important points from the original document in three distinct and concise bullets.
doc_06,llama-3.1-8b (Flash-Lite),241.4,268,91,2.068e-05,5,"The summary accurately captures the most important points of the GDPR, including citizen rights, company obligations, and penalties for non-compliance."
